# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_ADH_HB_PCB_15.04.2026_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-15 07:55:49 PM BST
# Run End Data/Time: 2026-04-15 08:50:20 PM BST
# Run Duration: 54 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-15 03:14:52 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-15 03:17:20 PM BST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"22","A22","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","92.0594711303711","62.69002914428711","72.77877044677734","89.48123931884766","","","","","FALSE"
"23","A23","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","63.36260986328125","70.20053100585938","80.96185302734375","66.1650390625","","","","","FALSE"
"24","A24","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","62.8021240234375","70.53682708740234","82.643310546875","90.71430969238281","","","","","FALSE"
"25","B1","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.4970932006836","86.56859588623047","","","","","","","FALSE"
"26","B2","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.83340454101562","92.06169891357422","63.13882064819336","66.05352783203125","","","","","FALSE"
"27","B3","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.83340454101562","82.98126220703125","","","","","","","FALSE"
"28","B4","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","INCONCLUSIVE","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.83340454101562","92.62222290039062","71.09822082519531","84.10230255126953","","","","","FALSE"
"29","B5","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.60157012939453","63.473628997802734","72.4383316040039","91.60039520263672","","","","","FALSE"
"30","B6","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.82568359375","86.22157287597656","89.24716186523438","63.8098030090332","","","","","FALSE"
"31","B7","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","79.49803924560547","89.24716186523438","93.28128051757812","72.21421813964844","","","","","FALSE"
