Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
C7,Sample 1,UBQ10,0.912,Amp,UNKNOWN,37.405,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,33,FALSE
C8,Sample 1,UBQ10,1.089,Amp,UNKNOWN,36.039,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,32,FALSE
C9,Sample 1,UBQ10,1.144,Amp,UNKNOWN,34.713,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,31,FALSE
C10,Sample 1,UBQ10,0.967,Amp,UNKNOWN,37.057,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,33,FALSE
C11,Sample 1,UBQ10,1.166,Amp,UNKNOWN,21.822,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
C12,Sample 1,UBQ10,1.167,Amp,UNKNOWN,21.935,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
C13,Sample 1,UBQ10,1.159,Amp,UNKNOWN,20.013,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,16,FALSE
C14,Sample 1,UBQ10,1.157,Amp,UNKNOWN,20.115,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,16,FALSE
C15,Sample 1,UBQ10,0.988,Amp,UNKNOWN,36.926,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,33,FALSE
C16,Sample 1,UBQ10,1.097,Amp,UNKNOWN,35.97,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,32,FALSE
D1,Sample 1,UBQ10,1.161,Amp,UNKNOWN,21.034,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
D2,Sample 1,UBQ10,1.158,Amp,UNKNOWN,20.888,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
D3,Sample 1,UBQ10,1.143,Amp,UNKNOWN,34.839,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,31,FALSE
D4,Sample 1,UBQ10,1.075,Amp,UNKNOWN,36.228,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,32,FALSE
D5,Sample 1,UBQ10,1.141,Amp,UNKNOWN,21.177,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
D6,Sample 1,UBQ10,1.142,Amp,UNKNOWN,21.169,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
D7,Sample 1,UBQ10,1.134,Amp,UNKNOWN,35.279,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,31,FALSE
D8,Sample 1,UBQ10,1.074,Amp,UNKNOWN,36.277,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,32,FALSE
D9,Sample 1,UBQ10,0.929,Inconclusive,UNKNOWN,37.608,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,34,FALSE
D10,Sample 1,UBQ10,0,No Amp,UNKNOWN,40,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,39,FALSE
D11,Sample 1,UBQ10,1.143,Amp,UNKNOWN,21.073,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
D12,Sample 1,UBQ10,1.143,Amp,UNKNOWN,21.156,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
D13,Sample 1,UBQ10,1.121,Amp,UNKNOWN,20.591,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
D14,Sample 1,UBQ10,1.138,Amp,UNKNOWN,20.524,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,16,FALSE
D15,Sample 1,UBQ10,0.982,Amp,UNKNOWN,36.839,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,33,FALSE
D16,Sample 1,UBQ10,0.99,Amp,UNKNOWN,36.744,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,33,FALSE
E1,Sample 1,UBQ10,1.139,Amp,UNKNOWN,22.442,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
E2,Sample 1,UBQ10,1.143,Amp,UNKNOWN,21.396,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
E3,Sample 1,UBQ10,1.144,Amp,UNKNOWN,20.066,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,16,FALSE
E4,Sample 1,UBQ10,1.14,Amp,UNKNOWN,19.9,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,16,FALSE
E5,Sample 1,UBQ10,1.145,Amp,UNKNOWN,30.929,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,27,FALSE
E6,Sample 1,UBQ10,1.14,Amp,UNKNOWN,34.701,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,31,FALSE
E7,Sample 1,UBQ10,1.088,Amp,UNKNOWN,35.804,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,32,FALSE
E8,Sample 1,UBQ10,1.074,Amp,UNKNOWN,36.219,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,32,FALSE
E9,Sample 1,UBQ10,0.891,Amp,UNKNOWN,37.419,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,33,FALSE
E10,Sample 1,UBQ10,0.988,Amp,UNKNOWN,36.736,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,33,FALSE
