# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_ADH_HB_PCB_15.04.2026_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-15 07:55:49 PM BST
# Run End Data/Time: 2026-04-15 08:50:20 PM BST
# Run Duration: 54 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-15 03:14:52 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-15 03:17:20 PM BST
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"14","A14","Sample 1","PDC1","61.680843353271484","3711.21337890625"
"14","A14","Sample 1","PDC1","87.23268127441406","237.46466064453125"
"14","A14","Sample 1","PDC1","69.07742309570312","1916.248291015625"
"15","A15","Sample 1","PDC1","78.60333251953125","2354.76513671875"
"15","A15","Sample 1","PDC1","90.48269653320312","30.073486328125"
"15","A15","Sample 1","PDC1","67.50845336914062","1942.7998046875"
"15","A15","Sample 1","PDC1","83.31024932861328","-70.42913818359375"
"15","A15","Sample 1","PDC1","92.72408294677734","-406.88079833984375"
"16","A16","Sample 1","PDC1","78.71540069580078","2569.698486328125"
"16","A16","Sample 1","PDC1","87.90509033203125","561.4013061523438"
"16","A16","Sample 1","PDC1","72.32743835449219","1596.21728515625"
"16","A16","Sample 1","PDC1","83.19818115234375","658.037353515625"
"16","A16","Sample 1","PDC1","61.792911529541016","3284.486572265625"
"17","A17","Sample 1","Target 1","70.20071411132812","2072.825927734375"
"17","A17","Sample 1","Target 1","75.24517059326172","1248.3834228515625"
