# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_PpPCO_ADH_17.04.2026.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-17 08:50:15 PM BST
# Run End Data/Time: 2026-04-17 09:44:12 PM BST
# Run Duration: 53 minutes 57 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-17 02:48:54 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-17 04:49:37 PM BST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"22","A22","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","82.65387725830078","67.06531524658203","78.16796112060547","70.42975616455078","","","","","FALSE"
"23","A23","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","86.24260711669922","74.80352783203125","62.467254638671875","65.60739135742188","","","","","FALSE"
"24","A24","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","INCONCLUSIVE","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","65.49524688720703","83.21461486816406","74.1306381225586","80.74736022949219","","","","","FALSE"
"25","B1","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","87.57746887207031","73.3401107788086","75.91853332519531","83.09326171875","","","","","FALSE"
"26","B2","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","89.37115478515625","80.626953125","84.77484130859375","70.08906555175781","","","","","FALSE"
"27","B3","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","87.6895751953125","78.04853057861328","84.77484130859375","75.58221435546875","","","","","FALSE"
"28","B4","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","83.99010467529297","87.46536254882812","78.16063690185547","64.48380279541016","","","","","FALSE"
"29","B5","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","89.70974731445312","84.77682495117188","78.27433776855469","69.52960968017578","","","","","FALSE"
"30","B6","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","87.57962036132812","67.7358169555664","84.8889389038086","75.91998291015625","","","","","FALSE"
"31","B7","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","93.29733276367188","88.36441040039062","85.33738708496094","72.10818481445312","","","","","FALSE"
"32","B8","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","92.40043640136719","70.31439208984375","81.74980163574219","85.1131591796875","","","","","FALSE"
"33","B9","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.56869506835938","89.50482177734375","78.06196594238281","93.09474182128906","","","","","FALSE"
"34","B10","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.56869506835938","78.28633880615234","64.59977722167969","71.89179992675781","","","","","FALSE"
"35","B11","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","78.84725952148438","84.45650482177734","89.28045654296875","87.03675842285156","","","","","FALSE"
"36","B12","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","87.93423461914062","92.64600372314453","78.62289428710938","63.25355911254883","","","","","FALSE"
"37","B13","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","90.0490493774414","83.77008056640625","81.41546630859375","93.07640838623047","","","","","FALSE"
"38","B14","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","91.1702880859375","87.6944351196289","80.40634155273438","85.11557006835938","","","","","FALSE"
"39","B15","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","66.951416015625","78.27598571777344","84.44282531738281","61.345191955566406","","","","","FALSE"
"40","B16","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","79.06085205078125","87.1338119506836","70.65151977539062","91.1702880859375","","","","","FALSE"
"41","B17","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.61485290527344","74.91429138183594","65.15826416015625","81.53044891357422","","","","","FALSE"
"42","B18","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","85.34314727783203","88.37088012695312","81.75472259521484","78.83912658691406","","","","","FALSE"
"43","B19","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","71.10159301757812","87.5859146118164","85.0067367553711","80.96975708007812","","","","","FALSE"
"44","B20","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","87.4737777709961","65.38253784179688","82.87610626220703","71.99869537353516","","","","","FALSE"
"45","B21","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","87.70053100585938","75.36426544189453","81.53239440917969","78.28010559082031","","","","","FALSE"
"46","B22","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","74.69137573242188","70.20545959472656","90.61637878417969","85.34542846679688","","","","","FALSE"
"47","B23","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","92.85933685302734","62.579402923583984","87.70053100585938","82.20528411865234","","","","","FALSE"
"48","B24","Sample 1","","Target 1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","10.660885085247248","0.0","","TRUE","0.03999999910593033","TRUE","3","39","84.4482421875","74.69137573242188","62.91584396362305","70.20545959472656","","","","","FALSE"
"49","C1","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","91.72535705566406","88.13799285888672","93.96746826171875","65.94116973876953","","","","","FALSE"
"50","C2","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","88.47431182861328","81.63589477539062","93.40693664550781","78.4969482421875","","","","","FALSE"
"51","C3","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","91.72535705566406","78.4969482421875","88.02588653564453","83.31747436523438","","","","","FALSE"
"52","C4","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","93.18272399902344","82.08432006835938","88.13799285888672","78.94537353515625","","","","","FALSE"
"53","C5","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","83.54359436035156","80.8529052734375","93.8578872680664","88.2522964477539","","","","","FALSE"
"54","C6","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","81.52558135986328","93.40943908691406","88.58863067626953","84.10415649414062","","","","","FALSE"
"55","C7","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","76.14421081542969","89.93397521972656","91.83987426757812","61.68177795410156","","","","","FALSE"
"56","C8","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","80.6286849975586","92.96099853515625","90.27030944824219","62.24233627319336","","","","","FALSE"
"57","C9","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.56869506835938","76.15482330322266","90.73886108398438","80.3056640625","","","","","FALSE"
"58","C10","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","82.32499694824219","88.94390106201172","86.25146484375","80.081298828125","","","","","FALSE"
"59","C11","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.79306030273438","78.84725952148438","81.87625122070312","76.15482330322266","","","","","FALSE"
"60","C12","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","62.131710052490234","88.60734558105469","91.63633728027344","78.28633880615234","","","","","FALSE"
